NAME,PLACE_KEY,CAPITAL,POPULATION,STATE,PCLASS,POINT_X,POINT_Y
Sacramento,606764000,Y,"376,243",CA,7,-121.4871473,38.57365909
Carson City,3251009700,Y,"52,457",NV,4,-119.7518927,39.15013727
Phoenix,401355000,Y,"1,159,014",AZ,8,-112.0737955,33.44818273
Victoria,5900000139,Y,"71,228",BC,4,-123.3672591,48.4275
Olympia,5306751300,Y,"39,006",WA,4,-122.9017027,47.04491091
Salem,4104764900,Y,"107,290",OR,5,-123.0271655,44.93701
Edmonton,4800000032,Y,"616,741",AB,7,-113.4936982,53.54094091
Helena,3004935600,Y,"27,982",MT,3,-112.0204582,46.59107
Boise,1600108700,Y,"152,737",ID,6,-116.2125391,43.60207091
Salt Lake City,4903567000,Y,"172,575",UT,6,-111.88817,40.77159
Regina,4700000049,Y,"179,178",SK,5,-104.6180127,50.44723364
Bismarck,3801507200,Y,"53,514",ND,4,-100.7693791,46.80836909
Cheyenne,5602113900,Y,"53,729",WY,4,-104.8165436,41.13886636
Pierre,4606549600,Y,"13,422",SD,2,-100.3177482,44.37763182
Lincoln,3110928000,Y,"209,192",NE,5,-96.70261,40.81359909
Winnipeg,4600000046,Y,"616,790",MB,7,-97.13827273,49.89545182
Des Moines,1915321000,Y,"193,422",IA,6,-93.62030909,41.58882182
St. Paul,2712358000,Y,"259,606",MN,5,-93.10265727,44.94463636
Madison,5502548000,Y,"197,630",WI,5,-89.40084636,43.06207091
Santa Fe,3504970500,Y,"66,522",NM,4,-105.9380673,35.68162182
Denver,803120000,Y,"497,840",CO,7,-104.9881045,39.75508909
Austin,4845305000,Y,"537,627",TX,7,-97.74520636,30.26873
Oklahoma City,4010955000,Y,"406,139",OK,7,-97.45914273,35.49309545
Topeka,2017771000,Y,"119,658",KS,5,-95.68151,39.04743636
Little Rock,511941000,Y,"175,752",AR,5,-92.27885273,34.72443273
Jefferson City,2905137000,Y,"35,656",MO,4,-92.19365636,38.57069909
Springfield,1716772000,Y,"112,921",IL,5,-89.65327091,39.80180727
Jackson,2804936000,Y,"192,015",MS,6,-90.17795091,32.31220818
Baton Rouge,2203305000,Y,"215,882",LA,5,-91.12959909,30.46785
Montgomery,110151000,Y,"196,363",AL,5,-86.29960182,32.37540909
Atlanta,1312104000,Y,"367,285",GA,7,-84.38962273,33.75450364
Tallahassee,1207370600,Y,"136,812",FL,5,-84.28063364,30.43819
Nashville,4703752000,Y,"511,263",TN,7,-86.78205636,36.15888727
Indianapolis,1809736000,Y,"746,737",IN,7,-86.15625455,39.76701636
Frankfort,2107328900,Y,"26,695",KY,3,-84.87148364,38.18939364
Charleston,5403914600,Y,"56,098",WV,4,-81.63537455,38.35329818
Raleigh,3718355000,Y,"243,835",NC,5,-78.64338636,35.77973455
Columbia,4507916000,Y,"112,773",SC,6,-81.03528727,34.00066909
Richmond,5176067000,Y,"198,267",VA,5,-77.43387818,37.54081545
Washington,1100150000,Y,"543,213",DC,7,-77.02397727,38.89205727
Annapolis,2400301600,Y,"33,234",MD,3,-76.51969,38.96930727
Dover,1000121200,Y,"30,414",DE,3,-75.51357818,39.16154364
Lansing,2606546000,Y,"121,051",MI,5,-84.54659,42.73358818
Columbus,3904918000,Y,"656,171",OH,7,-83.00068455,39.96227091
Toronto,3500000319,Y,"635,395",ON,7,-79.38675545,43.67023273
Harrisburg,4204332800,Y,"50,886",PA,4,-76.88485545,40.27396273
Albany,3600101000,Y,"103,564",NY,5,-73.75509273,42.65172545
Trenton,3402174000,Y,"85,437",NJ,4,-74.76417909,40.22017
Québec,2400000218,Y,"167,264",QC,5,-71.21522273,46.81275364
Hartford,900337000,Y,"133,086",CT,5,-72.67317,41.76645727
Providence,4400759000,Y,"152,558",RI,6,-71.40873364,41.82696091
Boston,2502507000,Y,"558,394",MA,7,-71.05775727,42.35884727
Concord,3301314200,Y,"37,021",NH,4,-71.55971636,43.23136636
Montpelier,5002346000,Y,"7,856",VT,2,-72.57160636,44.26273909
Augusta,2301102100,Y,"20,441",ME,3,-69.76832818,44.31626273
Halifax,1200000018,Y,"114,455",NS,6,-63.57356636,44.64624364
Fredericton,1300000015,Y,"85,688",NB,4,-66.64035091,45.95922545
Charlottetown,1100000002,Y,"58,625",PE,4,-63.12652091,46.23541909
